Date,Open,High,Low,Close,Volume,Time
2023-10-13,912.8,913.9,912.7,912.85,11814,13:50:00
2023-10-13,912.85,913.6,912.5,913.2,11225,13:55:00
2023-10-13,913.2,913.35,911.15,911.15,23892,14:00:00
2023-10-13,911.1,911.8,910.05,911.05,25211,14:05:00
2023-10-13,911.05,911.35,910.7,910.75,10091,14:10:00
2023-10-13,910.75,911.2,910.5,910.55,10633,14:15:00
2023-10-13,910.5,910.95,908.35,909.35,50196,14:20:00
2023-10-13,909.35,909.95,908.55,909.8,13410,14:25:00
2023-10-13,909.8,910.95,909.0,910.5,34920,14:30:00
2023-10-13,910.5,912.9,910.25,912.85,28969,14:35:00
2023-10-13,912.75,913.5,911.7,912.35,27573,14:40:00
2023-10-13,912.35,913.75,911.45,912.35,61574,14:45:00
2023-10-13,912.35,917.15,912.0,915.5,139310,14:50:00
2023-10-13,915.15,916.45,914.65,916.2,80318,14:55:00
2023-10-13,915.8,916.1,914.2,914.2,35778,15:00:00
2023-10-13,914.45,914.45,913.75,913.9,66934,15:05:00
2023-10-13,914.0,914.3,913.9,914.1,29179,15:10:00
2023-10-13,914.0,914.5,912.45,912.85,76667,15:15:00
2023-10-13,912.95,913.15,911.8,912.5,72065,15:20:00
2023-10-13,912.95,912.95,910.1,911.5,47810,15:25:00
2023-10-13,913.35,913.35,913.35,913.35,0,15:30:00
2023-10-16,917.1,917.1,911.45,914.0,160247,09:15:00
2023-10-16,914.3,915.95,912.6,913.0,101645,09:20:00
2023-10-16,913.0,916.35,912.75,915.25,58410,09:25:00
2023-10-16,915.25,916.5,913.95,914.2,60802,09:30:00
2023-10-16,914.45,916.25,912.75,915.9,30274,09:35:00
2023-10-16,915.8,915.95,913.8,913.85,39160,09:40:00
2023-10-16,913.8,915.0,913.05,913.5,34601,09:45:00
2023-10-16,913.5,914.95,913.0,913.95,27751,09:50:00
2023-10-16,913.95,914.0,913.0,913.7,15935,09:55:00
2023-10-16,913.7,913.7,912.4,912.9,16892,10:00:00
2023-10-16,912.9,914.2,912.35,913.9,14797,10:05:00
2023-10-16,914.2,914.2,913.15,913.8,6021,10:10:00
2023-10-16,913.5,913.85,908.35,909.05,53663,10:15:00
2023-10-16,908.85,912.0,908.2,911.45,23421,10:20:00
2023-10-16,911.45,911.55,910.0,910.7,13767,10:25:00
2023-10-16,910.75,910.9,909.65,910.25,8781,10:30:00
2023-10-16,910.25,910.5,909.65,910.3,8347,10:35:00
2023-10-16,909.5,910.1,909.0,910.1,18518,10:40:00
2023-10-16,909.95,909.95,909.05,909.05,5998,10:45:00
2023-10-16,909.05,909.5,908.0,908.9,17138,10:50:00
2023-10-16,909.05,909.85,908.2,909.45,16306,10:55:00
2023-10-16,909.95,909.95,908.35,908.9,14091,11:00:00
2023-10-16,908.9,909.9,908.8,909.55,11797,11:05:00
2023-10-16,909.55,909.55,908.3,909.0,11248,11:10:00
2023-10-16,909.0,909.3,908.15,908.7,7856,11:15:00
2023-10-16,909.1,909.9,908.45,909.55,6132,11:20:00
2023-10-16,909.65,909.75,909.35,909.7,6980,11:25:00
2023-10-16,909.7,911.4,909.7,911.4,12953,11:30:00
2023-10-16,911.4,912.6,911.3,912.6,9678,11:35:00
2023-10-16,912.5,913.7,911.0,911.6,19744,11:40:00
2023-10-16,911.7,912.0,911.05,911.95,10394,11:45:00
2023-10-16,911.95,912.8,911.15,912.75,14397,11:50:00
2023-10-16,912.45,912.85,911.3,911.95,20116,11:55:00
2023-10-16,911.5,912.65,911.3,912.45,15303,12:00:00
2023-10-16,912.45,912.8,911.65,912.8,4925,12:05:00
2023-10-16,912.8,912.95,911.95,912.25,6899,12:10:00
2023-10-16,912.65,912.7,910.7,912.6,14234,12:15:00
2023-10-16,912.6,913.35,912.2,913.35,6385,12:20:00
2023-10-16,913.35,915.0,913.0,914.9,44526,12:25:00
2023-10-16,914.9,915.0,914.2,914.55,14650,12:30:00
2023-10-16,914.55,914.6,913.0,913.95,12774,12:35:00
2023-10-16,913.95,914.1,912.95,914.0,74184,12:40:00
